name,date,link,price,ticket_open_date
이마에스트리 제19회 정기연주회,2024-05-30,https://www.sac.or.kr/site/main/show/show_view?SN=62300,가격 정보 없음,예매 일정 없음
KT와 함께하는 예술의전당 마음을 담은 클래식(5.31),2024-05-31,https://www.sac.or.kr/site/main/show/show_view?SN=60210,"일반석 30,000원 / 3층석 15,000원",2024-03-21
2024 서울시향 얍 판 츠베덴과 손열음 ②,2024-05-10,https://www.sac.or.kr/site/main/show/show_view?SN=60773,"R석 120,000원 / S석 90,000원 / A석 60,000원 / B석 30,000원 / C석 10,000원",
힐러리 한 & 안드레아스 해플리거 듀오 리사이틀 ,2024-05-11,https://www.sac.or.kr/site/main/show/show_view?SN=62333,"R석 160,000원 / S석 130,000원 / A석 110,000원 / B석 90,000원 / C석 60,000원",2024-02-15
"국립심포니오케스트라 - 베를리오즈, 환상교향곡",2024-05-12,https://www.sac.or.kr/site/main/show/show_view?SN=60903,"R석 70,000원 / S석 50,000원 / A석 30,000원 / B석 10,000원",2023-12-20
강남심포니오케스트라 제 104회 정기연주회,2024-05-14,https://www.sac.or.kr/site/main/show/show_view?SN=66646,,
소프라노 올가페레치야트코 그랜드갈라 콘서트,2024-05-15,https://www.sac.or.kr/site/main/show/show_view?SN=60881,가격 정보 없음,예매 일정 없음
차이콥스키 콩쿠르 위너 콘서트,2024-05-16,https://www.sac.or.kr/site/main/show/show_view?SN=64068,가격 정보 없음,예매 일정 없음
테너 김우경 독창회,2024-05-17,https://www.sac.or.kr/site/main/show/show_view?SN=62016,가격 정보 없음,예매 일정 없음
서울 심포닉 윈드 오케스트라 제3회 정기연주회,2024-05-18,https://www.sac.or.kr/site/main/show/show_view?SN=68863,가격 정보 없음,예매 일정 없음
"<창단연주회> 더원심포니오케스트라 ""낭만의 랩소디""",2024-05-01,https://www.sac.or.kr/site/main/show/show_view?SN=68725,가격 정보 없음,예매 일정 없음
자선음악회 사랑이 머무는 곳에,2024-05-02,https://www.sac.or.kr/site/main/show/show_view?SN=62023,가격 정보 없음,예매 일정 없음
한경arte 더클래식 2024,2024-05-03,https://www.sac.or.kr/site/main/show/show_view?SN=62335,가격 정보 없음,예매 일정 없음
KT와 함께하는 예술의전당 마음을 담은 클래식(5.4),2024-05-04,https://www.sac.or.kr/site/main/show/show_view?SN=66989,"일반석 30,000원 / 3층석 15,000원",2024-01-18
어린이날 뮤지토리 콘서트 - 양파의 매직코트,2024-05-05,https://www.sac.or.kr/site/main/show/show_view?SN=68666,가격 정보 없음,예매 일정 없음
정명훈 & 도쿄 필하모닉 오케스트라 (협연: 조성진) ,2024-05-07,https://www.sac.or.kr/site/main/show/show_view?SN=62021,"R석 180,000원 / S석 150,000원 / A석 120,000원 / B석 90,000원 / C석 60,000원",예매 일정 없음
안젤라게오르규 내한공연,2024-05-08,https://www.sac.or.kr/site/main/show/show_view?SN=60882,가격 정보 없음,예매 일정 없음
한화생명과 함께하는 예술의전당 11시 콘서트(5월),2024-05-09,https://www.sac.or.kr/site/main/show/show_view?SN=60214,"일반석 30,000원 / 3층석 15,000원",2024-02-06
심포니 송 ‘말러를 노래하다.’,2024-05-21,https://www.sac.or.kr/site/main/show/show_view?SN=61743,가격 정보 없음,예매 일정 없음
임윤찬 피아노 리사이틀,2024-06-22,https://www.sac.or.kr/site/main/show/show_view?SN=60785,가격 정보 없음,예매 일정 없음
프레디 켐프의 명 피아노 협주곡,2024-06-23,https://www.sac.or.kr/site/main/show/show_view?SN=61840,가격 정보 없음,예매 일정 없음
KT와 함께하는 예술의전당 마음을 담은 클래식(6월),2024-06-25,https://www.sac.or.kr/site/main/show/show_view?SN=60206,"일반석 30,000원 / 3층석 15,000원",2024-03-21
루돌프 부흐빈더 베토벤 피아노 협주곡 전곡Ⅰ,2024-06-26,https://www.sac.or.kr/site/main/show/show_view?SN=62299,"R석 200,000원 / S석 150,000원 / A석 100,000원 / B석 60,000원",2024-03-19
KBS교향악단 제803회 정기연주회,2024-06-29,https://www.sac.or.kr/site/main/show/show_view?SN=60867,R석 11만원 / S석 9만원 / A석 6만원 / B석 3만원 / C석 1만원,2023-12-15
루돌프 부흐빈더 베토벤 피아노 협주곡 전곡Ⅱ,2024-06-30,https://www.sac.or.kr/site/main/show/show_view?SN=62294,"R석 200,000원 / S석 150,000원 / A석 100,000원 / B석 60,000원",2024-03-19
백건우와 모차르트,2024-06-11,https://www.sac.or.kr/site/main/show/show_view?SN=66325,가격 정보 없음,예매 일정 없음
"레퀴엠: 모차르트의, 모차르트에 의한, 모차르트를 위한",2024-06-12,https://www.sac.or.kr/site/main/show/show_view?SN=62480,가격 정보 없음,예매 일정 없음
한화생명과 함께하는 예술의전당 11시 콘서트(6월),2024-06-13,https://www.sac.or.kr/site/main/show/show_view?SN=60209,"일반석 30,000원 / 3층석 15,000원",2024-02-06
오스트리아의 모차르트 : 루브르의 음악가들 & 마크 민코프스키,2024-06-14,https://www.sac.or.kr/site/main/show/show_view?SN=68862,가격 정보 없음,예매 일정 없음
2024 예술의전당 토요콘서트(6월),2024-06-15,https://www.sac.or.kr/site/main/show/show_view?SN=60208,"일반석 40,000원 / 3층석 20,000원",2024-01-16
조성진 호암상수상기념 리사이틀,2024-06-18,https://www.sac.or.kr/site/main/show/show_view?SN=61281,가격 정보 없음,예매 일정 없음
샤를 리샤르-아믈랭 피아노 리사이틀,2024-06-01,https://www.sac.or.kr/site/main/show/show_view?SN=60802,가격 정보 없음,예매 일정 없음
2024 한국오페라갈라페스티벌,2024-06-02,https://www.sac.or.kr/site/main/show/show_view?SN=66349,가격 정보 없음,예매 일정 없음
오라토리오 <모세> with 윤의중,2024-06-04,https://www.sac.or.kr/site/main/show/show_view?SN=66515,가격 정보 없음,예매 일정 없음
강남심포니오케스트라 제105회 정기연주회,2024-06-05,https://www.sac.or.kr/site/main/show/show_view?SN=66642,,
유키 구라모토 내한 25주년 기념 콘서트,2024-06-07,https://www.sac.or.kr/site/main/show/show_view?SN=64139,"R석 110,000원 / S석 90,000원 / A석 70,000원 / B석 40,000원",예매 일정 없음
필하모니코리아 정기연주회,2024-06-08,https://www.sac.or.kr/site/main/show/show_view?SN=62011,가격 정보 없음,예매 일정 없음
당 타이 손 피아노 리사이틀,2024-06-09,https://www.sac.or.kr/site/main/show/show_view?SN=62308,"R석 100,000원 / S석 80,000원 / A석 60,000원 / B석 40,000원",2024-02-22
2024 서울시향 바실리 페트렌코의 드보르자크 교향곡 8번 ①,2024-06-20,https://www.sac.or.kr/site/main/show/show_view?SN=60771,"R석 100,000원 / S석 80,000원 / A석 50,000원 / B석 30,000원 / C석 10,000원",
2024 서울시향 바실리 페트렌코의 드보르자크 교향곡 8번 ②,2024-06-21,https://www.sac.or.kr/site/main/show/show_view?SN=60770,"R석 100,000원 / S석 80,000원 / A석 50,000원 / B석 30,000원 / C석 10,000원",
한경arte 더클래식 2024,2024-07-10,https://www.sac.or.kr/site/main/show/show_view?SN=62290,가격 정보 없음,예매 일정 없음
한화생명과 함께하는 예술의전당 11시 콘서트(7월),2024-07-11,https://www.sac.or.kr/site/main/show/show_view?SN=60205,,
고잉홈프로젝트: 베토벤 전곡 시리즈 2.,2024-07-12,https://www.sac.or.kr/site/main/show/show_view?SN=64507,가격 정보 없음,예매 일정 없음
"푸치니 서거 100주년 기념 <3테너 콘서트: 김재형, 정호윤, 김승직>",2024-07-13,https://www.sac.or.kr/site/main/show/show_view?SN=60866,가격 정보 없음,예매 일정 없음
